road_id,section_id,lane_id,s,lane_type,is_junction,x,y,z,yaw,width,left_x,left_y,right_x,right_y,left_marking,left_color,right_marking,right_color
939,0,-1,0.0,Driving,True,-27.018,66.214,0.0,-179.927,3.5,-27.02,67.964,-27.015,64.464,SolidSolid,Yellow,Solid,White
939,0,-1,1.0,Driving,True,-27.961,66.204,0.0,181.933,3.5,-28.02,67.953,-27.902,64.455,NONE,White,NONE,White
939,0,-1,2.0,Driving,True,-28.866,66.149,0.0,184.972,3.5,-29.018,67.893,-28.715,64.406,NONE,White,NONE,White
939,0,-1,3.0,Driving,True,-29.767,66.047,0.0,188.01,3.5,-30.011,67.78,-29.524,64.314,NONE,White,NONE,White
939,0,-1,4.0,Driving,True,-30.662,65.896,0.0,191.049,3.5,-30.997,67.614,-30.327,64.179,NONE,White,NONE,White
939,0,-1,5.0,Driving,True,-31.547,65.699,0.0,194.087,3.5,-31.973,67.396,-31.121,64.002,NONE,White,NONE,White
939,0,-1,6.0,Driving,True,-32.421,65.455,0.0,197.126,3.5,-32.936,67.127,-31.906,63.783,NONE,White,NONE,White
939,0,-1,7.0,Driving,True,-33.281,65.165,0.0,200.164,3.5,-33.884,66.808,-32.677,63.522,NONE,White,Solid,White
939,0,-1,8.0,Driving,True,-34.123,64.83,0.0,203.203,3.5,-34.813,66.438,-33.434,63.221,NONE,White,Solid,White
939,0,-1,9.0,Driving,True,-34.947,64.451,0.0,206.241,3.5,-35.721,66.02,-34.174,62.881,NONE,White,Solid,White
939,0,-1,10.0,Driving,True,-35.75,64.028,0.0,209.28,3.5,-36.606,65.554,-34.894,62.502,NONE,White,Solid,White
939,0,-1,11.0,Driving,True,-36.529,63.564,0.0,212.318,3.5,-37.465,65.042,-35.594,62.085,NONE,White,Solid,White
939,0,-1,12.0,Driving,True,-37.283,63.058,0.0,215.357,3.5,-38.295,64.486,-36.27,61.631,NONE,White,Solid,White
939,0,-1,13.0,Driving,True,-37.994,62.526,0.0,219.0,3.5,-39.096,63.886,-36.893,61.166,NONE,White,Solid,White
939,0,-1,14.0,Driving,True,-38.631,61.964,0.0,223.931,3.5,-39.845,63.224,-37.416,60.704,NONE,White,Solid,White
939,0,-1,15.0,Driving,True,-39.216,61.349,0.0,228.863,3.5,-40.534,62.501,-37.898,60.198,NONE,White,Solid,White
939,0,-1,16.0,Driving,True,-39.747,60.686,0.0,233.795,3.5,-41.159,61.72,-38.335,59.653,NONE,White,Solid,White
939,0,-1,17.0,Driving,True,-40.218,59.98,0.0,238.727,3.5,-41.714,60.889,-38.723,59.072,NONE,White,Solid,White
939,0,-1,18.0,Driving,True,-40.627,59.236,0.0,243.659,3.5,-42.196,60.013,-39.059,58.46,NONE,White,Solid,White
939,0,-1,19.0,Driving,True,-40.971,58.46,0.0,248.59,3.5,-42.6,59.099,-39.342,57.821,NONE,White,Solid,White
939,0,-1,20.0,Driving,True,-41.247,57.657,0.0,253.522,3.5,-42.925,58.153,-39.569,57.16,NONE,White,Solid,White
939,0,-1,21.0,Driving,True,-41.452,56.833,0.0,258.454,3.5,-43.167,57.183,-39.738,56.483,NONE,White,Solid,White
939,0,-1,22.0,Driving,True,-41.586,55.994,0.0,263.386,3.5,-43.325,56.196,-39.848,55.793,NONE,White,Solid,White
939,0,-1,23.0,Driving,True,-41.648,55.147,0.0,268.318,3.5,-43.397,55.199,-39.899,55.096,NONE,White,Solid,White
939,0,-1,24.0,Driving,True,-41.654,54.194,0.0,-90.161,3.5,-43.404,54.199,-39.904,54.189,Broken,White,Solid,White
939,0,-1,25.0,Driving,True,-41.657,53.194,0.0,-90.161,3.5,-43.407,53.199,-39.907,53.189,Broken,White,Solid,White
939,0,-1,26.0,Driving,True,-41.66,52.194,0.0,-90.161,3.5,-43.41,52.199,-39.91,52.189,Broken,White,Solid,White
933,0,1,0.0,Driving,True,-48.574,82.645,0.0,89.839,3.5,-46.824,82.64,-50.324,82.65,SolidSolid,Yellow,Broken,White
933,0,2,0.0,Driving,True,-52.074,82.655,0.0,89.839,3.5,-50.324,82.65,-53.824,82.66,Broken,White,Solid,White
933,0,1,1.0,Driving,True,-48.577,81.645,0.0,89.839,3.5,-46.827,81.64,-50.327,81.65,SolidSolid,Yellow,Broken,White
933,0,2,1.0,Driving,True,-52.077,81.655,0.0,89.839,3.5,-50.327,81.65,-53.827,81.66,Broken,White,Solid,White
933,0,1,2.0,Driving,True,-48.58,80.645,0.0,89.839,3.5,-46.83,80.64,-50.33,80.65,SolidSolid,Yellow,Broken,White
933,0,2,2.0,Driving,True,-52.08,80.655,0.0,89.839,3.5,-50.33,80.65,-53.83,80.66,Broken,White,Solid,White
